dataset_name,downloads,likes,tags,success
RoboCOIN/AgiBot-g1_box_storage_cardboard_box_a,27,0,[],True
RoboCOIN/AgiBot-g1_right_capture_part,26,0,[],True
RoboCOIN/alpha_bot_2_press_the_button_a,22,0,[],True
RoboCOIN/Cobot_Magic_fold_clothes,20,0,[],True
RoboCOIN/Cobot_Magic_classification_of_tableware,19,0,[],True
RoboCOIN/AgiBot-g1_picks_up_battery_b,19,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_pen,19,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_orange,18,0,[],True
RoboCOIN/leju_robot_hotel_services_c,18,0,[],True
RoboCOIN/Cobot_Magic_clean_blackboard,18,0,[],True
RoboCOIN/Cobot_Magic_pushing_magnet,17,0,[],True
RoboCOIN/Cobot_Magic_water_bottle_storage,17,0,[],True
RoboCOIN/RMC-AIDA-L_pour_coffee_beans,17,0,[],True
RoboCOIN/AIRBOT_MMK2_place_the_blue_and_purple_blocks,16,0,[],True
RoboCOIN/AIRBOT_MMK2_place_the_shark_toys_and_gold_bars,16,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_milk,16,0,[],True
RoboCOIN/RMC-AIDA-L_basket_storage_orange,16,0,[],True
RoboCOIN/AIRBOT_MMK2_pumpkin_storage,15,0,[],True
RoboCOIN/AIRBOT_MMK2_mobile_phone_storage,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_glass,15,0,[],True
RoboCOIN/AIRBOT_MMK2_storage_item,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_duck,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_rubiks_cube,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_long_bread,15,0,[],True
RoboCOIN/RMC-AIDA-L_place_the_fruits_repeatedly,15,0,[],True
RoboCOIN/AgiBot-g1_box_storage_c,14,0,[],True
RoboCOIN/AgiBot-g1_left_capture_part,14,0,[],True
